Doc,Topic,Doc_ID
"Oriana Fallaci: ""I terroristi, i kamikaze, non ci ammazzano soltanto per il gusto d'ammazzarci. Ci ammazzano per piegarci. Per intimidirci, stancarci, scoraggiarci, ricattarci.”  https://t.co/v9ZhVvKVuf",64,1280
"Genug mit Willkommenskultur für alle: Heute müssen wir mehr denn je eine Nulltoleranz gegenüber islamischen Fanatikern erklären, die in unseren Gesellschaften lauern. Wir müssen die Häfen schließen, die Grenzen kontrollieren, unsere Kinder schützen, unsere Identität verteidigen.",64,1328
"“L’attentatore ucciso era un simpatizzante dell’Isis” dice il ministro dell’Interno austriaco #Nehammer. Invito ai cittadini a stare in casa, altri attentatori ancora in fuga.    #wien 🇦🇹  https://t.co/bdHuMwMEJ7",64,1335
"... chi uccide in nome di Allah. No alla Turchia in Europa, tolleranza zero contro Stati-canaglia come l'Iran, chiusura dei luoghi di culto dove si inneggia all'odio.",64,1411
Bonafede assegna a un'associazione in odore di tolleranza verso l'estremismo islamico i corsi per imam per l'assistenza spirituale ai detenuti musulmani... Non è uno scherzo!   https://t.co/Ln777K3mkr,64,2226
#Salvini: Non si capisce perché Azzolina abbia dichiarato guerra ai precari. #staseraitalia,64,2506
"Basilica cristiana di Santa Sofia trasformata in moschea dai turchi, icone cristiane coperte durante celebrazione islamica.... Quanto ci manchi, Oriana Fallaci.  https://t.co/x5XHUHCaLX",64,4223
"...la Turchia di miliardi, reagiscano.  A furia di chinare il capo, rischiamo di trovarci una moschea al posto del Duomo. Giù le mani da Santa Sofia.  https://t.co/Hpx5z29Ye2",64,4460
"Dove sono i buonisti e i difensori dei diritti umani, e delle donne in particolare? Tutti zitti. Se questo è l’Islam moderato...   https://t.co/43X9faEQ2J",64,5328
"#Salvini: I terroristi islamici di Al-Shabaab sono quelli che entrarono in una scuola qualche anno fa e chiesero a tutti gli studenti di quali religione fossero. Gli ""infedeli"" furono uccisi con un colpo in testa. 148 ragazzi persero la vita. #Drittoerovescio",64,6639
"‼️”Ma quali terroristi! Quelli sono uomini di preghiera. I terroristi siete VOI!”. Spero sia un’opinione minoritaria, queste parole sono semplicemente vergognose! #primagliitaliani🇮🇹 🔴 VIDEO COMPLETO 👉  https://www.facebook.com/252306033154/posts/10157707539658155/ … pic.twitter.com/Ku7vmQ40fu",64,6698
"#Salvini: Immaginate i terroristi islamici: hanno portato a casa soldi, compiendo un atto criminale, e hanno ""vinto"" la battaglia culturale nel nome del velo islamico e della conversione... Non deve passare l'idea che si tratti di persone ""comprensive"". #Patriae #Aisha pic.twitter.com/pHqcLTMEjG",64,6748
#Salvini: Il pericolo numero uno al mondo continua ad essere il fanatismo islamico. Va combattuto senza se e senza ma. 📻 @Radio24_news,64,10534
"Fra, da un lato, l’estremismo e la violenza islamica e, dall'altro, la libertà, non ho dubbi su cosa scegliere: sempre e comunque la libertà, la pace, il rispetto dei diritti umani e dei nostri valori cristiani. #Soleimani",64,10618
"Il rispetto della donna è incompatibile con un certo tipo di Islam, ma in Italia sinistra, ""intellettuali"" e femministe militanti TACCIONO. pic.twitter.com/cH6RWaXaKx",64,10643
"Reciprocità e rispetto delle nostre leggi e regole, chiediamo troppo? Non si sente certo il bisogno di un’altra Consulta Islamica...  🔴 LINK 👉  https://milano.repubblica.it/cronaca/2019/12/05/news/moschee_lombardia_consulta_legge_luoghi_di_culto_religioni-242649491/amp/ … pic.twitter.com/ZMulGl5nT6",64,11352
"Il terrorista islamico di Londra aveva già progettato una strage nel 2012 ed era a piede libero, roba da matti.  Tolleranza zero verso chi vuole farci tornare al Medioevo, portando sangue e violenza nelle nostre città.  Le parole di Oriana Fallaci non devono rimanere inascoltate. pic.twitter.com/o8eoPN3sy0",64,11545
"🔴 Terrore a Londra e L’Aia, morti e feriti in un venerdì purtroppo nero. Una preghiera e l’impegno perché non accada più. Mai più. #LondonBridge #TheHague #BlackFriday #sadlyforreal pic.twitter.com/9osxSKZY6q",64,11548
"Umbertide (Perugia): stop maxi-moschea grazie alla Lega, #dalleparoleaifatti pic.twitter.com/ueQTvTagk0",64,11601
"Il terrorismo islamico è ancora un pericolo, anzi il pericolo più grave, in tutto il mondo.  Mai abbassare la guardia. pic.twitter.com/szRfWQSA97",64,12087
"Vicino ai nostri militari colpiti vigliaccamente in #Iraq, alle loro famiglie e a tutti i nostri soldati nel mondo.  Combattere il terrorismo islamico ovunque, in Italia e nel mondo, era e rimane una nostra priorità.",64,12119
"#Meloni: Noi difenderemo i nostri simboli, la nostra identità, Dio Patria e Famiglia... fatevene una ragione! Ci batteremo contro l'islamizzazione dell'Europa, non abbiamo alcuna intenzione di diventare un continente musulmano.  🗣🇮🇹 #orgoglioitaliano #SanGiovanni pic.twitter.com/PNO5JNtPhf",64,12904
"Chiusura immediata di questa moschea e due schiaffi all’Imam, prima di rimandarlo al suo paese. https://www.ilmessaggero.it/italia/imam_picchia_bambini_corano_padova_oggi_1_ottobre_2019-4769524.html …",64,13519
"#Salvini: sono sconvolto che ieri avendo parlato di RADICI CRISTIANE in Europa qualcuno abbia polemizzato. Mi preoccuperei piuttosto di estremisti islamici, di chi arriva in casa nostra e dice che la donna vale meno dell’uomo. 📺 #nonelarena @nonelarena",64,17222
#Salvini: a Londra ci sono quartieri islamici dove vige la Shari’a. 26 maggio sarà anche un referendum tra la libertà e la sottomissione. 📺 #tg2post @Tg2rai,64,17362
"Altro sangue, altri morti innocenti ammazzati dai terroristi islamici, questa volta in #SriLanka. Una preghiera e l’impegno a vigilare, prevenire, fermare, annientare gli assassini usando la rabbia, l’orgoglio e la forza della ragione. pic.twitter.com/uaVbrgaynk",64,18143
"La preghiera, mia, del governo e di tutti gli Italiani, per i morti innocenti massacrati dai terroristi in #SriLanka. pic.twitter.com/jaUhrIvVhU",64,18156
"Dobbiamo vincere questa guerra, non abbiamo un pianeta di riserva.",64,18518
"P.s. A certe “femministe” che ce l’hanno tanto con la famiglia suggerisco di preoccuparsi di quell’estremismo islamico che le donne le vorrebbe sottomesse, umiliate e magari anche picchiate. pic.twitter.com/NAFi5DXke5",64,18611
"🔴 ESPULSO un ex-imam radicalizzato, violento e allontanato da due comunità islamiche. Tolleranza zero per chi, in nome di un Dio, cerca di portarci la guerra in casa. http://www.ilgiornale.it/news/cronache/espulso-imam-vercelli-nelle-prediche-criticava-chi-1665436.html?mobile_detect=false …",64,18824
Che vergogna!!! Se questa è “giustizia islamica” c’è da aver paura. Una preghiera per Sana🙏 https://www.quotidiano.net/esteri/sana-cheema-1.4444018 …,64,19435
"""Se uccide i cristiani è nostro fratello"". Queste le parole di odio del 20enne somalo arrestato per terrorismo internazionale. E voleva mettere ""bombe in tutte le Chiese d'Italia"". GALERA ed ESPULSIONE, via dal nostro Paese questa gente. VIA! https://www.borderline24.com/2018/12/17/bari-20enne-somalo-preparava-un-attentato-mettiamo-le-bombe-nelle-chiese-ricercato-un-altro-giovane/?fbclid=IwAR22gwVt3tVrCFLyrNOssOM7WDuoi3aXammYxd2FXrEEYycmTB2o-jWAKBE …",64,20538
"Per combattere il terrorismo islamico e riportare pace e stabilità, per un rapporto sempre più stretto fra scuole, università ed imprese, per cooperare in ricerca scientifica e sanitaria, per rinsaldare collaborazione e amicizia fra popolo italiano e popolo israeliano: io ci sono pic.twitter.com/QUZDgnJCJU",64,20660
#Salvini parlando alla #StampaEstera: il nascente antisemitismo fa rima con l'estremismo islamico a cui qualcuno non presta la necessaria attenzione.,64,20673
Oggi come allora massima attenzione al principale nemico della pace e della sicurezza nel mondo: il terrorismo islamico. #11settembre #NeverForget pic.twitter.com/JdM8ihmkP2,64,22342
Ho firmato l’#espulsione di tre estremisti #islamici. #Tolleranzazero per chi vuole portarci la guerra in casa. pic.twitter.com/RqDSSgtoL7,64,23060
"Per gli islamici che trattano le donne come esseri inferiori, in Italia non c’è spazio. https://www.ilmattino.it/primopiano/cronaca/pakistana_costretta_abortire-3737672.html …",64,23638
"Il nemico dei nostri figli è il terrorismo #islamico, non altri. Sbaglio? #Parigi http://www.lastampa.it/2018/05/12/esteri/parigi-assale-i-passanti-con-un-coltello-un-morto-e-feriti-la-polizia-lo-uccide-l7qzwghdUefAS2Z1hxRNSP/pagina.html …",64,23654
"Stanno ancora cercando le ""armi chimiche"" di Saddam, stiamo ancora pagando per la folle guerra in Libia, e qualcuno col grilletto facile insiste coi ""missili intelligenti"", aiutando peraltro i terroristi islamici quasi sconfitti. Pazzesco, fermatevi. #Siria #stopwar #stopisis",64,23857
"Notizie false per sganciare altre bombe? Basta guerre, grazie!  http://www.analisidifesa.it/2018/04/siria-le-fake-news-sulle-armi-chimiche-per-creare-il-casus-belli/ …",64,23885
"🔴 Altri arresti di immigrati legati al terrorismo islamico. Quindi non ero io a ""seminare odio e paura""...!!! https://www.agi.it/breakingnews/terrorismo_blitz_ros_a_cuneo_fermato_jihadista_marocchino-3713508/news/2018-03-30/ …",64,23962
